lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
88.822616176221,24.4157915476777,BDHR4JDT.ZIP,Bangladesh,2004,0.4078700405937951,-0.2757893690426548,30,0
88.8266930175702,24.5946109306727,BDHR4JDT.ZIP,Bangladesh,2004,0.3818835320971791,-0.26640536960924976,29,1
88.8431104916651,23.6478871365551,BDHR4JDT.ZIP,Bangladesh,2004,-0.7074780006321222,1.2595071092470007,29,1
88.8473441600329,23.4607297601648,BDHR4JDT.ZIP,Bangladesh,2004,0.3630811078273216,-0.1650744452099754,30,0
88.8751771590664,23.6127399368631,BDHR4JDT.ZIP,Bangladesh,2004,-0.07813365997856586,0.436427551078035,30,1
88.895006170186,25.3981584266555,BDHR4JDT.ZIP,Bangladesh,2004,0.8335807825824132,-0.7917136416910638,28,0
88.8950118889024,25.7945197916974,BDHR4JDT.ZIP,Bangladesh,2004,0.1728361523150107,0.1169675320174715,29,1
88.9156631556073,24.0021883625274,BDHR4JDT.ZIP,Bangladesh,2004,0.13420942626306104,0.14181295240632194,29,0
88.9213401143793,24.4550499122758,BDHR4JDT.ZIP,Bangladesh,2004,0.4164549692199835,-0.26410165369955513,29,0
88.9265632203033,25.6493047266017,BDHR4JDT.ZIP,Bangladesh,2004,-0.4254049787516948,0.9066015852870294,30,1
88.9349124561527,24.8229398684471,BDHR4JDT.ZIP,Bangladesh,2004,0.5634877613234662,-0.4513395245858401,29,0
88.9382189961337,26.1523837646578,BDHR4JDT.ZIP,Bangladesh,2004,0.7810447017162547,-0.6647762444371392,30,0
88.9441536089666,22.9848906692945,BDHR4JDT.ZIP,Bangladesh,2004,0.5172124605159927,-0.3363729049724168,30,0
88.9460340160977,23.5013640951786,BDHR4JDT.ZIP,Bangladesh,2004,0.853180245507526,-0.750134797551201,30,0
88.9530542206553,23.761144241448,BDHR4JDT.ZIP,Bangladesh,2004,0.373073599482283,-0.1908049520626655,28,0
88.9559631502591,25.0539901024431,BDHR4JDT.ZIP,Bangladesh,2004,1.1676905917190967,-1.1334617812289947,30,0
88.9600622876797,24.1861460260403,BDHR4JDT.ZIP,Bangladesh,2004,0.491619105606832,-0.27405873025314487,30,1
88.9867575619407,25.7157084460969,BDHR4JDT.ZIP,Bangladesh,2004,0.8988409723647622,-0.8396651196775939,30,0
88.9881266445061,24.0943549947183,BDHR4JDT.ZIP,Bangladesh,2004,0.5849003029370129,-0.45705727911264116,29,0
88.9945540461208,24.8415964663359,BDHR4JDT.ZIP,Bangladesh,2004,0.4634560237451267,-0.35476483489073746,30,0
89.0187180786344,25.2846887730134,BDHR4JDT.ZIP,Bangladesh,2004,0.877385518460549,-0.8050962869443921,30,1
89.0244962891694,26.0647466791049,BDHR4JDT.ZIP,Bangladesh,2004,1.055884908259018,-1.0176494546808035,29,0
89.0329385349009,22.6952627744466,BDHR4JDT.ZIP,Bangladesh,2004,0.2710247644276704,-0.015070620179045539,29,1
89.036843303608,24.9599896788306,BDHR4JDT.ZIP,Bangladesh,2004,0.6431539320740793,-0.5223871998836626,30,1
89.0427730285609,23.7592086710169,BDHR4JDT.ZIP,Bangladesh,2004,0.513027002160121,-0.40974536697472186,29,0
89.0437994442306,22.6829553368603,BDHR4JDT.ZIP,Bangladesh,2004,0.5711177503049298,-0.41869816228557105,30,0
